incidentType,incidentSubType,reportDescription,name,phoneNumber,dateAndTime,landmark,address
Conflict,Land or property conflict,Reporting a property boundary dispute between two neighbors at 123 Sampaguita St. Requesting barangay mediation.,Cesar Gonzales,9154455667,2024/04/01 9:50:27,Most Holy Trinity Parish Church,"Laurel Avenue, Brgy. Pallocan West, Batangas City, Batangas"
Conflict,Land or property conflict,"Report lang po tungkol sa away sa lupa dito sa Brgy. San Isidro. Yung magkatabing lote, pinag-aagawan yung hangganan.",Violeta David,9255566778,2024/04/05 10:30:35,Jesus of Nazareth Hospital,"P. Herrera Street, Brgy. Poblacion, Batangas City, Batangas"
Conflict,Land or property conflict,Reporting lang po regarding sa land dispute dito sa may creek side. May two parties na nag-aaway about sa boundaries ng property nila.,Renato Fernandez,9086677889,2024/04/10 14:00:48,Batangas Medical Center (batmc),"Bihi Road, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Conflict,Armed conflict,Urgent: Multiple gunshots heard near the market area. Sounds very close. Requesting immediate police presence.,Gloria Sebastian,9997788990,2024/04/15 11:10:02,St. Bridget College,"M.H. Del Pilar Street, Brgy. Poblacion, Batangas City, Batangas"
Conflict,Armed conflict,"May putukan po dito malapit sa eskwelahan! Sunod-Sunod! Pulis Po, pakidalian! Nakakatakot Po dito.",Eduardo Castro,9108899001,2024/04/20 16:55:11,Batangas National High School,"Rizal Avenue, Brgy. Poblacion, Batangas City, Batangas"
Conflict,Armed conflict,Alert! Parang May putukan kaming naririnig somewhere near the plaza. Di kami sure pero sounds like gunshots talaga.,Angelita Villanueva,9299900112,2024/04/25 8:05:20,SM Hypermarket Batangas,"Diversion Road, Brgy. Balagtas, Batangas City, Batangas"
Crime,Property crimes,"Reporting a car break-in at the SM City Batangas parking lot. My passenger side window was smashed, and my laptop bag was stolen from the backseat sometime this afternoon.",Francisco Manuel,9300011223,2024/05/01 13:40:29,Brgy. Alangilan Hall,"Sitio Santolan, Brgy. Alangilan, Batangas City, Batangas"
Crime,Property crimes,"Nilooban po kami kagabi! Pag Gising namin, bukas na yung bintana sa kusina. Nawawala po yung TV namin at ilang mga gamit sa sala. Pagnanakaw po ito, pakipuntahan po kami dito sa Brgy. Cuta.",Lourdes Pascual,9411122334,2024/05/05 17:25:38,Brgy. Cuta Hall,"Sports Coliseum Area, Brgy. Cuta, Batangas City, Batangas"
Crime,Property crimes,"Naku, nadukutan yata ako sa Divisoria kanina! Pag-Check ko, wala na yung wallet ko sa bag ko. Ang dami kasing tao kanina. Sayang yung laman.",Miguel De Leon,9522233445,2024/05/10 7:00:47,Balagtas Rotunda,"Diversion Road corner Startoll Exit, Brgy. Balagtas, Batangas City, Batangas"
Crime,Violent crimes,"Witnessing a serious assault right now near the bus stop on Mabini St.! A Man is relentlessly punching and kicking another man who is already down. The victim is bleeding, please send police immediately!",Emilia Bautista,9633344556,2024/05/15 20:10:56,Diversion Road junction (Bolbok),"Xentro Mall Area, Diversion Road, Brgy. Bolbok, Batangas City, Batangas"
Crime,Violent crimes,"Tulong! May Nag-aaway po dito sa kanto ng Rizal at Zamora! Yung Isa po pinagtutulungan, bugbog sarado na po! Kailangan Po ng pulis, baka mapatay po!",Rolando Enriquez,9744455667,2024/05/20 10:45:04,Pontefino Hotel,"Pastor Village, Brgy. Gulod Labac, Batangas City, Batangas"
Crime,Violent crimes,"Grabe! May Suntukan dito sa labas ng Midnight Bar! Yung Isang guy, pinagsusuntok sa mukha ng isa pa! Ang Lakas, baka ma-knock out! Violent Fight po!",Corazon Ignacio,9855566778,2024/05/25 14:20:13,Old Public Market,"P. Gomez Street, Brgy. Poblacion, Batangas City, Batangas"
Crime,Cybercrime,"Received a suspicious email claiming to be from BDO, asking for my online banking password to 'verify my account'. Looks like a clear phishing attempt. I deleted it without clicking any links.",Jaime Alfonso,9966677889,2024/06/01 11:50:22,New Public Market,"Magsaysay Drive, Brgy. Cuta, Batangas City, Batangas"
Crime,Cybercrime,"Tulungan nyo po ako, mukhang na-scam ako sa Facebook Marketplace. Nagpadala ako ng payment via gcash para sa cellphone, pero blinock na ako ng seller. Ano po pwede kong gawin?",Milagros Serrano,9127788990,2024/06/05 16:35:31,BPI P. Burgos Branch,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Crime,Cybercrime,Help po! Yung Shopee Account ko na-hack! May Nag-order gamit account ko papunta sa ibang address! Pinalitan Din yung mobile number ko. Paano 'to?,Gregorio Chavez,9238899001,2024/06/10 9:00:40,Mercury Drug P. Burgos,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Crime,Kidnapping,"URGENT! Just Witnessed a possible kidnapping near Batangas National High School! A Young woman was screaming while being forced into a silver Toyota Vios, plate number ending in 123. They sped off towards the STAR Tollway!",Soledad Perez,9349900112,2024/06/15 12:40:49,Jollibee SM Batangas,"SM City Batangas, Brgy. Pallocan West, Batangas City, Batangas"
Crime,Kidnapping,"Diyos ko po! May Babae pong kinaladkad pasakay sa isang itim na van dito sa tapat ng Basilica de San Martin de Tours! Nagsisigaw Po siya ng tulong! Ang Bilis po ng takbo, hindi ko nakuha yung plaka! Kidnapping Po ito!",Rodolfo Medina,9450011223,2024/06/20 18:15:58,McDonald's Plaza Mabini,"Rizal Avenue, Brgy. Poblacion, Batangas City, Batangas"
Crime,Kidnapping,"Nakita ko po may batang hinila papasok ng kotse! Nagpupumiglas Siya pero tinakpan bibig! Ang Bilis ng pangyayari! Kidnapping Po yata ito, please check!",Beatriz Marcelo,9561122334,2024/06/25 7:30:07,Shell Gas Station Alangilan,"National Road, Brgy. Alangilan, Batangas City, Batangas"
Crime,Illegal drug activity,"Reporting suspected drug activity at the basketball court in Brgy. Alangilan. Several individuals are gathering there every night, exchanging small packets discreetly.",Alfredo De Guzman,9672233445,2024/07/01 21:05:16,Petron Gas Station Balagtas,"Diversion Road, Brgy. Balagtas, Batangas City, Batangas"
Crime,Illegal drug activity,May mga kahina-hinala pong grupo ng kabataan na laging nakatambay sa madilim na eskinita dito sa may Pallocan West. May nag-aabutan po ng maliliit na supot tapos may bayaran. Mukhang bentahan po ng droga.,Rosario Adriano,9783344556,2024/07/05 15:50:25,Landbank Batangas Branch,"P. Panganiban Street, Brgy. Poblacion, Batangas City, Batangas"
Crime,Illegal drug activity,May nakita akong nagpapalitan ng something sa loob ng tricycle kanina. Small plastic sachet kapalit ng pera. Mukhang drug deal po. Suspicious.,Guillermo Samson,9894455667,2024/07/10 10:25:34,Puregold Batangas,"Aguinaldo Highway, Brgy. Pallocan West, Batangas City, Batangas"
Crime,Illegal gambling,"Reporting ongoing mahjong at house number 143 on Sampaguita Street. It happens almost every night, very noisy, and large amounts of money are involved.",Josefina Abad,9905566778,2024/07/15 13:00:43,Calumpang Bridge,"Calumpang Bridge, Brgy. Poblacion, Batangas City, Batangas"
Crime,Illegal gambling,May nagto-tong-its po dito sa may gilid ng tindahan ni Aling Nena sa Brgy. Libjo. Malakasan po ang pustahan at sobrang ingay hanggang gabi.,Teodoro Velasco,9186677889,2024/07/20 17:40:52,Teacher's Conference Center,"Ramos Avenue, Brgy. Cuta, Batangas City, Batangas"
Crime,Illegal gambling,"Dito sa may vacant lot sa likod ng palengke, may sabong (cockfighting). Ang daming tao, sigawan, tapos may pustahan talaga.",Alicia Morales,9277788990,2024/07/25 8:10:01,Metrobank Kumintang Branch,"Quezon Avenue, Brgy. Kumintang Ilaya, Batangas City, Batangas"
Crime,Illegal possession of firearms,Concerned reporting: Saw a man in civilian clothes arguing loudly at the Batangas City Public Market entrance with what looked like a handgun tucked into his pants. Causing public alarm. Request police check.,Roberto Sandoval,9398899001,2024/08/01 19:30:10,Waltermart Batangas,"New Public Market Area, Brgy. Cuta, Batangas City, Batangas"
Crime,Illegal possession of firearms,"May lasing po dito sa kanto ng P. Burgos at D. Silang na nagwawala at may pinapakitang baril na nakasukbit sa baywang. Hindi po siya pulis. Delikado po, baka makabaril. Pakipuntahan po.",Leonora Alvarez,9489900112,2024/08/05 6:55:19,Golden Gate Colleges,"Malvar Road, Brgy. Poblacion, Batangas City, Batangas"
Crime,Illegal possession of firearms,"May nakita akong lalaki na may baril sa bewang, parang tinatago niya sa ilalim ng T-shirt. Di naman mukhang police.",Victorino Domingo,9580011223,2024/08/10 22:10:28,Toyota Batangas City,"Diversion Road, Brgy. Balagtas, Batangas City, Batangas"
Hazard,Electrical hazard,DANGER! Live Wire down on Evangelista Street near the lamp post # 112! It's Sparking intermittently and smells like burning plastic. Keep people away!,Adelaida Ferrer,9691122334,2024/08/15 15:35:37,Our Lady of Mt. Carmel Chapel (Port),"Batangas Port Area, Brgy. Sta. Clara, Batangas City, Batangas"
Hazard,Electrical hazard,"Delikado po! Yung Kawad ng kuryente sa poste dito sa tapat ng bahay #45 sa Brgy. Sta. Clara ay bumagsak at nag-i-spark! Amoy sunog na po! Paki-aksyunan po agad, baka may makuryente!",Gerardo Imperial,9702233445,2024/08/20 12:15:46,Caedo Commercial Center,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Hazard,Electrical hazard,"Yung poste dito sa kanto ng Acacia at Narra, yung mga wires nag-spark ng malakas kanina! Tapos Parang umusok.",Estrella Lopez,9813344556,2024/08/25 18:55:55,Johanna's Grille,"Diversion Road, Brgy. Bolbok, Batangas City, Batangas"
Hazard,Road hazard,"Reporting a very large and deep pothole located in the middle of the southbound lane of STAR Tollway, just after the Balete exit intersection. Highly dangerous, especially for motorcycles. Needs immediate repair.",Mario Magno,9924455667,2024/09/01 9:10:04,Provincial Engineering Office,"Capitol Site, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Hazard,Road hazard,"Grabe po yung lubak dito sa provincial road papuntang Lobo! Halos Hindi na maiwasan, ang lalim! Baka Po may maaksidente dito.",Clara Narciso,9135566778,2024/09/05 10:40:13,Brgy. Gulod Labac Health Center,"Agoncillo Road, Brgy. Gulod Labac, Batangas City, Batangas"
Hazard,Road hazard,Ang laki ng bitak sa kalsada dito sa Villa Angela subdivision namin. Pwedeng ikasira ng gulong. Very dangerous lalo pag gabi. ,Pedro Quizon,9246677889,2024/09/10 14:55:22,AMA Computer College Batangas,"National Road, Brgy. Kumintang Ilaya, Batangas City, Batangas"
Hazard,Animal hazard,"Warning: An aggressive-looking stray dog, possibly rabid, is roaming near Bolbok Elementary School, growling at children. Poses a serious biting risk. Animal Control needed.",Silvia Roxas,9357788990,2024/09/15 11:20:31,Old Batangas City Library,"P. Herrera Street, Brgy. Poblacion, Batangas City, Batangas"
Hazard,Animal hazard,"May malaking aso po dito sa Brgy. Kumintang Ilaya na nakawala yata, nangangagat po ng mga dumadaan! Nakagat Na po yung kapitbahay namin kanina! Paki-Respondehan po!",Tomas Umali,9468899001,2024/09/20 16:00:40,Honda Cars Batangas,"Diversion Road, Brgy. Balagtas, Batangas City, Batangas"
Hazard,Animal hazard,"May mga baka pong tumawid sa highway malapit sa San Pascual kanina! Biglang Sulpot lang. Grabe traffic na-cause, very dangerous. Animal hazard po.",Yolanda Valerio,9579900112,2024/09/25 8:45:49,Days Hotel by Wyndham Batangas,"Pastor Village, Brgy. Pallocan West, Batangas City, Batangas"
Hazard,Falling objects,"Caution! Debris, Including small tools and pieces of wood, are falling from the construction site at the new SMDC condo near Diversion Road. Almost got hit walking by. Hazard to pedestrians!",Zenaida Zamora,9680011223,2024/10/01 13:10:58,Brgy. Sta. Clara Covered Court,"Roxas Street, Brgy. Sta. Clara, Batangas City, Batangas"
Hazard,Falling objects,May nahuhulog pong mga yero at bakal mula sa ginagawang building dito sa P. Burgos Street! Delikado Po sa mga tao sa baba!,Alberto Bautista,9791122334,2024/10/05 17:05:07,Figaro Coffee Company Pallocan,"Ilagan Avenue, Brgy. Pallocan West, Batangas City, Batangas"
Hazard,Falling objects,"May nahulog na hollow block kanina from the building construction sa may Caedo Commercial Center! Buti Walang natamaan! Falling Objects hazard po ito, super dangerous!",Consuelo Castillo,9802233445,2024/10/10 7:20:16,Starbucks Coffee Lipa-Batangas Road,"Diversion Road, Brgy. Bolbok, Batangas City, Batangas"
Hazard,Pest infestations,"Reporting a severe cockroach infestation in apartment building Dona Marta Apartments. They are everywhere, coming out of drains and walls. Unsanitary conditions, needs urgent pest control.",Danilo Dizon,9913344556,2024/10/15 20:40:25,BDO Calicanto Branch,"National Road, Brgy. Calicanto, Batangas City, Batangas"
Hazard,Pest infestations,"Sobra pong dami ng daga dito sa lugar namin sa Brgy. Pallocan East, lalo na malapit sa basurahan. Pumapasok na po sa mga bahay.",Erlinda Espino,9114455667,2024/10/20 10:00:34,Batangas City Convention Center,"Coliseum Area, Brgy. Cuta, Batangas City, Batangas"
Hazard,Pest infestations,"Grabe yung mga langgam dito sa bahay, ang dami! Kahit Saan meron. Tapos may surot pa yata sa kama. Help!",Federico Franco,9225566778,2024/10/25 14:30:43,Jollibee Alangilan,"National Road, Brgy. Alangilan, Batangas City, Batangas"
Medical Help,Medical emergency,"MEDICAL EMERGENCY! In Front of Mercury Drug P. Burgos branch! Person collapsed, unresponsive, turning blue! Performing CPR now but need ambulance URGENTLY! Possible cardiac arrest!",Gabriela Gallardo,9336677889,2024/10/30 11:00:52,Development Bank of the Philippines,"Kalaw Road, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Medical Help,Medical emergency,TULONG PO! May Hinimatay dito sa Batangas City Public Market! Hindi Po gumigising at parang hirap huminga! Kailangan Po ng ambulansya NGAYON NA! Emergency Po ito!,Renato Ocampo,9182345678,2025/03/15 10:30:00,Plaza Mabini,"Rizal Avenue, Brgy. Poblacion, Batangas City, Batangas"
Medical Help,Medical emergency,Emergency! May Nahulog na matanda dito sa hagdan ng Batangas City Hall! Walang Malay! Hindi Namin alam gagawin! Send Ambulance ASAP po!,Lorna Garcia,9278765432,2024/11/22 14:15:30,Batangas City Basilica,"Plaza Mabini Area, Brgy. Poblacion, Batangas City, Batangas"
Medical Help,Injury,"Serious injury reported at the construction site on Diversion Road. Worker fell from scaffolding, possible broken leg or back injury. Bleeding from the head too. Needs immediate medical transport!",Danilo Reyes,9051122334,2026/01/08 9:05:10,SM City Batangas,"Lorenzo Drive, Brgy. Pallocan West, Batangas City, Batangas"
Medical Help,Injury,"Nadulas po yung bata sa banyo, tumama yung ulo! Dumudugo Po at nagsusuka! Kailangan Po madala sa ospital agad dito sa Batangas Medical Center!",Marissa Ramos,9985551212,2024/07/30 18:45:00,Batangas Provincial Capitol,"Capitol Site, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Medical Help,Injury,"Naaksidente po sa motor dito sa kanto ng National Road at access road papuntang Bolbok! Yung Driver may sugat sa braso at paa, dumudugo. Needs first aid and check-up po.",Eduardo Santos,9179876543,2025/08/11 11:00:45,Batangas State University Main I,"Rizal Avenue Extension, Brgy. Poblacion, Batangas City, Batangas"
Medical Help,Medical assistance,"Found an elderly woman wandering near Plaza Mabini, seems very confused and possibly dehydrated. Doesn't know her name or where she lives. Needs assistance finding her family or getting medical check.",Gloria Flores,9253344556,2024/12/01 16:20:05,Batangas Port,"Castillo Avenue, Brgy. Sta. Clara, Batangas City, Batangas"
Medical Help,Medical assistance,"May matanda po dito na nakaupo lang sa bangketa sa harap ng BPI P. Burgos, mukhang gutom at pagod na. Kanina pa po siya dito, parang naliligaw. Pwede po bang tulungan? ",Ricardo Gonzales,9087766554,2026/05/20 7:55:55,University of Batangas,"Hilltop, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Medical Help,Medical assistance,"May lola dito sa Jollibee SM Batangas, mag-isa lang. Parang umiiyak kanina. Feeling ko she needs help or may problema. Paki-approach po.",Celia Mendoza,9391239876,2025/02/14 13:10:20,Laurel Park,"Yulo Road, Brgy. Poblacion, Batangas City, Batangas"
Natural Disaster,Flood,Severe flooding in Brgy. Wawa! Water Is already chest-deep in some areas near the river. Many residents trapped on rooftops. Urgent rescue and relief needed! ,Fernando Bautista,9158877665,2024/09/05 20:00:00,Nuciti Central Mall,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Natural Disaster,Flood,Lubog na po sa baha ang buong Purok 3 sa Brgy. Calicanto! Hanggang Leeg na po ang tubig! Hindi Na po kami makaalis sa bahay! Kailangan Na po namin ng rescue!,Lydia Ocampo,9224455667,2025/10/28 15:35:15,Calumpang Bridge,"Calumpang Bridge Area, Brgy. Poblacion, Batangas City, Batangas"
Natural Disaster,Flood,Lagpas tao na po yung baha dito sa amin near the Calumpang River! Yung Mga gamit namin lumulutang na! Need Rescue boat!,Arturo Fernandez,9069988776,2026/03/03 8:30:30,Near SM City Batangas,"Jacinto Street, Brgy. Pallocan West, Batangas City, Batangas"
Natural Disaster,Storm surge,"Coastal inundation! Storm Surge has breached the dike at Sitio Aroma, Brgy. Wawa! Seawater Rushing inland, flooding homes and roads. Extremely dangerous waves!",Nelia Cruz,9475566778,2024/06/12 12:00:00,Batangas City Basilica,"M.H. Del Pilar Street, Brgy. Poblacion, Batangas City, Batangas"
Natural Disaster,Storm surge,Pinapasok na po ng tubig dagat yung mga bahay dito sa tabing dagat sa Brgy. Malitam! Ang Lalakas po ng hampas ng alon! Sira Na po yung ibang bangka!,Manuel Lopez,9191122334,2025/11/09 17:40:50,Batangas Provincial Capitol,"Capitol Drive, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Natural Disaster,Storm surge,"Yung dagat, umabot na sa kalsada dito sa may Batangas City Baywalk! Ang Taas ng waves! People Are leaving na!",Erlinda Perez,9287654321,2026/07/18 10:10:10,Batangas State University Main I,"Alangilan Campus Access Road, Brgy. Alangilan, Batangas City, Batangas"
Natural Disaster,Landslide,"Massive landslide occurred along the highway at Kilometer 88, Brgy. Talumpok West! Road Is completely impassable",Ramon Castillo,9073344556,2024/10/15 19:25:35,Batangas Port Area,"Access Road, Brgy. Sta. Clara, Batangas City, Batangas"
Natural Disaster,Landslide,"Gumuho po yung lupa sa gilid ng bundok, natabunan po yung ilang bahay sa Sitio Ilaya, Brgy. San Jose Sico! May Mga tao pa po yata sa loob! Kailangan Po ng heavy equipment at rescue! Landslide!",Anita Villanueva,9359876543,2025/04/01 14:50:00,University of Batangas,"UB Drive, Hilltop, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Natural Disaster,Landslide,"May landslide po sa may zigzag road papuntang Laiya! Yung Lupa at mga bato, harang sa daan. Hindi po makakadaan mga sasakyan",Ernesto Rivera,9168877665,2026/09/25 6:45:45,Plaza Mabini Fountain,"Sison Street, Brgy. Poblacion, Batangas City, Batangas"
Natural Disaster,Earthquake,Very strong earthquake just hit! Intensity 6 Felt here in Batangas City proper. Violent shaking.,Violeta Aquino,9214455667,2024/08/08 11:30:15,Bay City Mall,"P. Burgos Street, Brgy. 1, Batangas City, Batangas"
Natural Disaster,Earthquake,"Napakalakas pong lindol! Gumagalaw Po ang lupa, parang duyan! Nagtakbuhan Po kami palabas dito sa Brgy. Poblacion! May mga nabasag po sa loob ng bahay!",Gregorio Castro,9099988776,2025/12/24 21:00:00,Most Holy Trinity Parish,"Paterno Avenue, Brgy. Pallocan West, Batangas City, Batangas"
Natural Disaster,Earthquake,Grabe yung lindol kanina! Ang Tagal at ang lakas ng shake! Nahulog Yung TV namin! May Aftershocks pa kaya?,Imelda Navarro,9465566778,2026/02/28 16:05:25,St. Bridget College,"M.H. Del Pilar Street, Brgy. Poblacion, Batangas City, Batangas"
Natural Disaster,Volcanic activities,"Alert Level 3 raised for Taal Volcano! Increased Steaming, ash emission visible from Batangas City. Ashfall now reaching our town.",Jaime Guzman,9101122334,2024/11/11 9:55:55,SM City Batangas Entrance,"Lacson Boulevard, Brgy. Pallocan West, Batangas City, Batangas"
Natural Disaster,Volcanic activities,Malakas na po ang pagbuga ng abo ng Bulkang Taal! Makapal Na po ang ashfall dito sa amin sa Cuenca. May mga pagyanig din pong nararamdaman. Paki-update po kami sa alert level! ,Milagros Mercado,9267654321,2025/06/06 13:40:40,Provincial Capitol Grounds,"Ejercito Drive, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Natural Disaster,Volcanic activities,"May ashfall na dito, medyo makapal na and nangangati kami. Amoy sulfur pa. Volcanic activity po ito. Ano na po status ng Taal volcano?",Oscar Serrano,9053344556,2026/10/31 17:15:15,BSU Alangilan Campus,"Golden Country Homes, Brgy. Alangilan, Batangas City, Batangas"
Natural Disaster,Tsunami,TSUNAMI IMMINENT! Ocean Water has receded hundreds of meters from the shoreline at Anilao Beach! This Is a critical sign! RUN TO HIGHER GROUND IMMEDIATELY! DO NOT WAIT! TSUNAMI!,Teresita Torres,9389876543,2024/07/04 10:00:00,Batangas Port Terminal 3,"Seaside Area, Brgy. Sta. Clara, Batangas City, Batangas"
Natural Disaster,Tsunami,"ALERT! ALERT! Biglang Umatras ang dagat dito sa Brgy. San Agustin, Bauan! Malayo po ang inatras! Senyales po ng Tsunami! Akyat na po sa pinakamataas na lugar! BILISAN PO NINYO!",Ruben Vargas,9128877665,2025/01/19 12:30:30,UB High School Dept.,"Hilltop, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Natural Disaster,Tsunami,Nawala yung tubig sa dagat! Ang Layo ng narating! Tsunami Sign daw! Takbo Na tayo pataas! Wag Na mag-picture!,Corazon Diaz,9234455667,2026/04/14 15:55:55,Plaza Mabini Stage,"Luna Road, Brgy. Poblacion, Batangas City, Batangas"
Other,Missing person,"My elderly father with Alzheimer's has been missing since this morning. He wandered off from our home at 123 Rose St., Villa Nenita Subd. He's wearing a blue polo shirt and khaki pants. Please help us find him!",Wilfredo Morales,9079988776,2024/09/20 8:10:10,Nuciti Cinema Entrance,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Other,Missing person,Hindi pa po umuuwi ang 15-year-old kong anak na babae mula pa kagabi. Nagpaalam lang na pupunta sa kaibigan sa may SM. Hindi na po macontact. Nag-aalala na po kami ng sobra!,Josefina Santiago,9455566778,2025/07/25 11:45:45,Calumpang River View,"Calumpang Bridge Area, Brgy. Poblacion, Batangas City, Batangas"
Other,Missing person,"Nawawala po yung aso namin, si Brownie. Nakawala sa gate kaninang umaga dito sa Brgy. Sta. Rita. Baka po may nakakita.",Benjamin Romero,9111122334,2026/11/30 14:20:20,SM Hypermarket Batangas,"Mabini Boulevard, Brgy. Pallocan West, Batangas City, Batangas"
Other,Power or water outage,Reporting prolonged power and water outage in Villa Irene Subdivision. It's been over 12 hours now. Requesting an update on the estimated restoration time from BATELEC II / Batangas City Water District.,Leonora Soriano,9297654321,2024/12/25 9:00:00,Batangas Basilica Steps,"Osmena Boulevard, Brgy. Poblacion, Batangas City, Batangas"
Other,Power or water outage,"Maghapon na pong walang kuryente at tubig dito sa Brgy. Balagtas. Sobrang perwisyo na po, lalo na sa gabi. Ano po bang nangyari at kailan babalik?",Domingo Marquez,9063344556,2025/05/01 18:00:00,Capitol Building Entrance,"Zamora Street, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Other,Power or water outage,"Hello po, kailan po babalik yung kuryente at tubig dito sa M.H. Del Pilar Street? Kanina Pa pong umaga wala.",Remedios Alvarez,9369876543,2026/08/15 10:35:35,BSU CIT Building,"Rizal Street, Brgy. Alangilan, Batangas City, Batangas"
Other,Noise complaint,"Requesting immediate action regarding excessive noise from a party at #7 Sunflower St., Camella Homes. Extremely loud music and shouting ongoing past 2 AM. Disturbing the entire neighborhood.",Felipe Enriquez,9138877665,2024/10/01 13:10:10,Batangas Port Gate 1,"Magsaysay Drive, Brgy. Sta. Clara, Batangas City, Batangas"
